level_0,OD,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
17,3_13,0.02357165622573933,24.83583130245653,-0.155345600122075,-0.1070714968677218,0.0,0.01224891443230622,0.1583048286328548,3.993418746536743e-07,26.06416869754339,0.02357165622573933,0.0667,700,179.83191173231359
18,3_16,0.05194540395118847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.05194540395118847,10.0,700,179.83191173231359
19,3_23,0.07350043844504117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,0.07350043844504117,10.0,700,179.83191173231359
20,3_24,0.03072161811427508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.03072161811427508,10.0,700,179.83191173231359
21,8_24,0.03738830226820713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.03738830226820713,10.0,700,179.83191173231359
22,9_13,0.02454754166930739,33.99867849890909,-0.1645982524651541,-0.1073642625007922,0.0,0.01676798729517203,0.2228394987715607,4.347770420661731e-07,36.00132150109091,0.02454754166930739,0.05,700,179.83191173231359
0,12_16,0.0,51.73072690332295,0.0,0.0,0.0,0.08630038216039274,0.09413760931680182,15.46469427232458,0.0,0.0,0.0333,800,179.77227092719113
1,12_24,0.0,106.3547455616543,0.0,0.0,0.0,0.135753657056591,0.8763305249543412,4.708944493830719e-07,0.0,0.0,0.05,800,179.77227092719113
2,13_16,0.03543103180020452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.03543103180020452,10.0,800,179.77227092719113
3,13_23,0.0569630721947924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.0569630721947924,10.0,800,179.77227092719113
4,13_24,0.01420741289983563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.01420741289983563,10.0,800,179.77227092719113
5,14_12,0.01245337226190947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.73072690332295,0.01245337226190947,10.0,800,179.77227092719113
6,14_16,0.04378956324348943,0.0,-3.1,-0.1131368689730468,1.388025779042407,0.0,0.0,0.0,11.52927309667715,0.04378956324348943,10.0,800,179.77227092719113
7,14_23,0.04961130239275902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.04961130239275902,10.0,800,179.77227092719113
8,16_24,0.04698329730869837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.04698329730869837,10.0,800,179.77227092719113
9,1_24,0.05338842633453501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84,0.05338842633453501,10.0,800,179.77227092719113
10,23_12,0.04419375909342182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.3547455616543,0.04419375909342182,10.0,800,179.77227092719113
11,23_13,0.0569630721947924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.0569630721947924,10.0,800,179.77227092719113
12,23_14,0.04961130239275902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.04961130239275902,10.0,800,179.77227092719113
13,23_24,0.05280503645796731,0.0,-3.1,-0.1158415109373902,-0.3442502827464272,0.0,0.0,0.0,133.6452544383457,0.05280503645796731,10.0,800,179.77227092719113
14,23_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.73,0.0,10.0,800,179.77227092719113
15,24_16,0.04698329730869837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.04698329730869837,10.0,800,179.77227092719113
16,24_23,0.05280503645796731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.05280503645796731,10.0,800,179.77227092719113
17,3_13,0.02357165622572733,24.83583131572523,-0.155345599078737,-0.1070714968677182,0.0,0.01224891443885028,0.1583048287237969,4.099767685369682e-07,26.06416868427467,0.02357165622572733,0.0667,800,179.77227092719113
18,3_16,0.05194533891825483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.05194533891825483,10.0,800,179.77227092719113
19,3_23,0.07347737931284272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,0.07347737931284272,10.0,800,179.77227092719113
20,3_24,0.03072172001788594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.03072172001788594,10.0,800,179.77227092719113
21,8_24,0.03738840417181799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.03738840417181799,10.0,800,179.77227092719113
22,9_13,0.0245475416692967,33.99867853072642,-0.1645982506455286,-0.107364262500789,0.0,0.01676798731086418,0.2228394990017855,4.534808010679665e-07,36.00132146927358,0.0245475416692967,0.05,800,179.77227092719113
0,12_16,0.0,53.06880501911682,0.0,0.0,0.0,0.08637799069110877,0.0966867334782966,16.95911303918582,0.0,0.0,0.0333,900,179.71932882495295
