level_0,OD,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
17,3_13,0.02705483536407335,283.7523335912091,-1.034040671436758,-0.108116450609222,0.0,0.1399453077208714,4.360235395602484,0.0,716.2476664087909,0.02705483536407335,0.0667,1000,3740.7217998710603
18,3_16,0.05668282252895104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.05668282252895104,10.0,1000,3740.7217998710603
19,3_23,0.5891799244635367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,0.5891799244635367,10.0,1000,3740.7217998710603
20,3_24,0.03559855634452656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.03559855634452656,10.0,1000,3740.7217998710603
21,8_24,0.04226524049845861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.04226524049845861,10.0,1000,3740.7217998710603
22,9_13,0.02834372193598451,284.2252024938052,-1.032102045706666,-0.1085031165807954,0.0,0.1401785244251992,4.375254468715148,0.0,715.7747975061948,0.02834372193598451,0.05,1000,3740.7217998710603
0,12_16,0.0,1784.050433676001,0.0,0.0,0.0,0.186774925153208,21.25788674806306,0.9213789134979488,0.0,0.0,0.0333,2000,3259.3243574060307
1,12_24,0.0,542.6409229167842,0.0,0.0,0.0,0.3509279344681299,23.80122469986132,0.6564443165674992,0.0,0.0,0.05,2000,3259.3243574060307
2,13_16,0.03911690480965462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.03911690480965462,10.0,2000,3259.3243574060307
3,13_23,0.5108179346932369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.5108179346932369,10.0,2000,3259.3243574060307
4,13_24,0.01808473803871107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.01808473803871107,10.0,2000,3259.3243574060307
5,14_12,0.02102152233065364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1784.050433676001,0.02102152233065364,10.0,2000,3259.3243574060307
6,14_16,0.3345757083420771,0.0,-3.1,-0.2003727125026231,0.1829882836319723,0.0,0.0,0.0,1215.949566324001,0.3345757083420771,10.0,2000,3259.3243574060307
7,14_23,0.5080687652121303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.5080687652121303,10.0,2000,3259.3243574060307
8,16_24,0.3333501696962771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.3333501696962771,10.0,2000,3259.3243574060307
9,1_24,0.05829584133877065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84,0.05829584133877065,10.0,2000,3259.3243574060307
10,23_12,0.2138197314341948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.6409229167842,0.2138197314341948,10.0,2000,3259.3243574060307
